gpe_uid,gpe_name,alias
alavaka,Alavaka,Alavaka
alavi,Alavi,Alavi
apana,Apana,Apana
assatara,Assatara,Assatara
atanata,Atanata,Atanata
avantī,Avantī,Avantī
bhoganagara,Bhoganagara,Bhoganagara
varanasi,Varanasi,Varanasi
varanasi,Varanasi,Bārāṇasī
varanasi,Varanasi,Vārāṇasī
varanasi,Varanasi,Benares
campa,Campa,Campa
devadaha,Devadaha,Devadaha
gayā,Gayā,Gayā
icchanangala,Icchanangala,Icchanangala
jantu_village,Jantu Village,Jantu Village
kambala,Kambala,Kambala
kammasadhamma,Kammasadhamma,Kammasadhamma
kapilavatthu,Kapilavatthu,Kapilavatthu
kasi,Kasi,Kasi
kingdom_of_alakamanda,Kingdom of Alakamanda,Kingdom of Alakamanda
kingdom_of_alakamanda,Kingdom of Alakamanda,Alakamanda
kosala,Kosala,Kosala
kusavati,Kusavati,Kusavati
kusinara,Kusinara,Kusinara
magadha,Magadha,Magadha
nalanda,Nalanda,Nalanda
okkala,Okkala,Okkala
payaga,Payaga,Payaga
pāva,Pāva,Pāva
pāṭali_village,Pāṭali Village,Pāṭali Village
rājagaha,Rājagaha,Rājagaha
rājagaha,Rājagaha,RaajagahaRajagaha
sala,Sala,Sala
simbali,Simbali,Simbali
subhaga,Subhaga,Subhaga
sāvatthī,Sāvatthī,Sāvatthī
sāvatthī,Sāvatthī,Savatthi
tacchaka,Tacchaka,Tacchaka
thullakotthita,Thullakotthita,Thullakotthita
toranavatthu,Toranavatthu,Toranavatthu
ukkattha,Ukkattha,Ukkattha
upavattana,Upavattana,Upavattana
uruvela,Uruvela,Uruvela
vesālī,Vesālī,Vesālī
vesālī,Vesālī,Vesali
vesālī,Vesālī,Visali
vessavana,Vessavana,Vessavana
