uid,name,aliases
aggalava_shrine,Aggalava Shrine,
ajakalāpaka,Ajakalāpaka,Ajakalāpaka [Herd-of-Goats] shrine
ananda_shrine,Ananda shrine,
anāthapiṇḍikas_monastery,Anāthapiṇḍika's monastery,Anathapindika's park
bahuputta,Bahuputta,
bamboo_grove,Bamboo Grove,
bamboo-grove_monastery,Bamboo-Grove Monastery,
banyan_grove,Banyan Grove,Banyan Park
black_rock_of_isigili,Black Rock of Isigili,
brahma-world,Brahma-world,
capala,Capala,
cool_forest,Cool Forest,Cool Wood
deer_park_at_isipatana,Deer Park at Isipatana,Deer Park
deva_realm,deva realm,
eastern_clime,Eastern clime,
gabled_hall,Gabled Hall,
gaggara_lake,Gaggara Lake,
ganges,Ganges,
gayā_head,Gayā Head,
goatherds_banyan_tree,Goatherd's Banyan Tree,
gotamaka_shrine,Gotamaka Shrine,Gotamaka
great_forest,Great Forest,Mahavana|Great Wood
grove_of_the_blind,Grove of the Blind,Blind Men's Grove|Blind Man's Grove
hall_of_the_gabled_pavilion,Hall of the Gabled Pavilion,
heaven_of_the_thirty-three,heaven of the Thirty-three,Thirty-three
high_divinity,High Divinity,World of High Divinity
himalayan_district,Himalayan district,Himalayas
hiraññavati_river,Hiraññavati River,
hot_springs,Hot Springs,
jetas_grove,Jeta's Grove,Jetavana
jivakas_mango_grove,Jivaka's Mango Grove,
kimikālā_river,Kimikālā River,
kuru_country,Kuru country,
lake_nabhasa,lake Nabhasa,
mallan_sal_grove,Mallan sal grove,
manyson_shrine,ManySon shrine,
mount_vepulla,Mount Vepulla,
nerañjara_river,Nerañjara River,
niraya,Niraya,
pavarika_mango_grove,Pavarika Mango Grove,
pavatta_mountain,Pavatta Mountain,
peaked_roofed_pavilion,Peaked Roofed Pavilion,
pure_abodes,Pure Abodes,Suddhavasa
pāvāla_shrine,Pāvāla shrine,
river_ganges,river Ganges,
river_vaggamudā,River Vaggamudā,
robbers_cliff,Robbers' Cliff,
sala_grove,Sala Grove,
sarandada,Sarandada,
sattamba_shrine,Sattamba shrine,
sattambaka,Sattambaka,
sattapanni_cave,Sattapanni Cave,
serpents_pool,Serpents' Pool,
small_nook,Small Nook,
squirrels_sanctuary,Squirrels' Sanctuary,Squirrels' Feeding-ground|Squirrel's Feeding Place
subhaga_forest,Subhaga forest,
sunaparanta_country,Sunaparanta country,
sāranda_shrine,Sāranda shrine,
tapoda_grove,Tapoda Grove,Tapodaa Park
udena,Udena,Udena shrine
vebhara_mountain,Vebhara Mountain,
vehapphala,Vehapphala,
vessamitta_mountain,Vessamitta mountain,
vulture_peak_mountain,Vulture Peak Mountain,Vulture's Peak
western_lands,Western lands,
ābhassara_brahma-world,Ābhassara Brahma-world,
